-------- ENCODAGE MIRE ORIGINALE --------
-------- ((x,y),(codage_voisin_0_degree),(codage_voisin_90_degree),(codage_voisin_180_degree),(codage_voisin_270_degree)) --------
(91, 28), 220221NNN, 2221NNN20, 21NNN2022, 2NN20221N
(159, 27), 201002NNN, 2002NNN01, 22NNN0100, 2NN01002N
(126, 28), 220022NNN, 2022NNN20, 22NNN2002, 2NN20022N
(424, 25), 200221NNN, 2221NNN00, 21NNN0022, 2NN00221N
(491, 24), 2NN200NNN, 2200NNNNN, 20NNNNN20, 2NNNN200N


-------- ENCODAGE MIRE MODIFIEE --------
-------- ((x,y),(codage_voisin)) --------

(340, 496), 01NNN0212
(172, 483), 01NNN2110
(310, 483), 00N111221
(211, 470), 01210100N
(252, 458), 0111N0122
(223, 445), 001010212
(443, 442), 0NNNN120N
(194, 431), 000112021
(96, 419), 022121022
(31, 420), 02NNN0221
(459, 414), 0NN01201N
(6, 409), 00NNNNN22
(176, 391), 020220102
(248, 390), 012122101
(321, 388), 02121120N
(78, 380), 020122120
(147, 378), 002220110
(445, 371), 010N10012
(117, 365), 002202211
(188, 363), 022001101
(261, 361), 011021122
(335, 359), 012012012
(412, 357), 002112001
(200, 335), 012011221
(30, 326), 0122N2201
(428, 327), 010020122
(318, 315), 010221021
(396, 313), 000211112
(39, 298), 011022010
(109, 294), 021210101
(79, 281), 002101110
(300, 271), 020112121
(120, 264), 012001010
(19, 255), 0102NNN01
(162, 247), 022101120
(428, 249), 022110210
(237, 243), 021120201
(395, 235), 001111121
(478, 230), 02220101N
(205, 229), 001202220
(29, 225), 0110NNN11
(100, 220), 010111201
(250, 211), 012002022
(111, 188), 011012212
(462, 181), 010121110
(231, 163), 020221122
(505, 160), 0NN101NNN
(361, 137), 02N210112
(59, 128), 0221NNN10
(326, 122), 002120011
(293, 108), 001222101
(102, 108), 021201121
(427, 79), 01N211NNN
(308, 71), 010021112
(158, 50), 011122012
(239, 43), 012112N21
(138, 6), 01022NNNN
(367, 508), 1NNNN01NN
(296, 508), 1NNNN110N
(412, 496), 1NNNN211N
(268, 496), 11NNN1010
(199, 496), 12NNN0101
(240, 483), 11N21000N
(281, 471), 1011N0222
(352, 470), 121002121
(426, 470), 1NN1211NN
(182, 458), 101021200
(396, 456), 11121221N
(87, 446), 12NNN2102
(152, 445), 110222220
(337, 430), 121222022
(412, 429), 1011N2120
(234, 418), 120002201
(68, 407), 101202202
(277, 403), 122210010
(396, 387), 121221200
(474, 385), 1NN0201NN
(290, 375), 102100220
(366, 374), 1122N0120
(157, 351), 100001210
(229, 348), 100200212
(460, 341), 12100022N
(58, 340), 120220012
(127, 337), 110021021
(349, 330), 121020210
(169, 322), 100112122
(241, 319), 120102111
(69, 312), 112100100
(286, 302), 102211202
(363, 299), 102102111
(255, 289), 112121020
(412, 282), 120011002
(150, 279), 121200102
(224, 275), 111222002
(49, 269), 101020011
(379, 268), 110121100
(348, 254), 111202110
(90, 252), 100011101
(59, 239), 110100110
(130, 234), 101010012
(281, 225), 120200221
(362, 221), 101121212
(444, 216), 102002101
(330, 207), 111212121
(69, 207), 101101120
(142, 202), 120100122
(495, 196), 1NN01010N
(39, 194), 1110NNNN2
(377, 187), 120112N21
(428, 167), 101212211
(47, 162), 121NNNN02
(310, 158), 121222000
(122, 156), 121022021
(477, 146), 101011NNN
(166, 136), 102212111
(444, 132), 110122N12
(211, 115), 120211112
(376, 102), 122001210
(178, 102), 112121011
(462, 94), 12N120NNN
(69, 94), 1020NNN12
(145, 87), 111202201
