-------- ENCODAGE MIRE ORIGINALE --------
-------- ((x,y),(codage_voisin_0_degree),(codage_voisin_90_degree),(codage_voisin_180_degree),(codage_voisin_270_degree)) --------
(351, 223), 101022120, 102212001, 121200102, 120010221
(255, 223), 121112010, 111201021, 120102111, 110211120
(127, 223), 101201220, 120122001, 112200120, 120012012
(95, 223), 112002122, 100212212, 121221200, 122120021
(447, 191), 100110102, 111010200, 101020011, 102001101
(319, 191), 121220011, 122001121, 100112122, 111212200
(255, 191), 102120020, 112002002, 100200212, 120021200
(191, 191), 102200210, 120021002, 102100220, 110022002
(63, 191), 121200112, 120011221, 101122120, 112212001
(415, 159), 101002210, 100221001, 122100100, 110010022
(351, 159), 120211002, 121100220, 110022021, 102202110
(319, 159), 112100000, 110000012, 100001210, 100121000
(191, 159), 100102221, 110222100, 122210010, 121001022
(127, 159), 120222122, 122212220, 121222022, 122202221
(63, 159), 122101121, 110112122, 111212210, 121221011
(31, 159), 1110NNN12, 10NNN1211, 1NN12110N, 112110NNN
(415, 127), 100122022, 112202200, 120220012, 122001220
(223, 127), 122012000, 101200022, 120002201, 100220120
(95, 127), 121212100, 121210021, 121002121, 100212121
(31, 127), 1211NNN01, 11NNN0121, 1NN01211N, 101211NNN
(479, 95), 1NN20221N, 120221NNN, 1221NNN20, 11NNN2022
(159, 95), 102220111, 122011102, 101110222, 111022201
(63, 95), 101210200, 121020001, 102000121, 100012102
(479, 63), 1NN12201N, 112201NNN, 1201NNN12, 11NNN1220
(383, 63), 122020120, 102012022, 101202202, 120220201
(287, 63), 122201022, 120102222, 110222220, 122222010
(255, 63), 112000102, 100010212, 101021200, 102120001
(191, 63), 100011121, 101112100, 111210001, 121000111
(159, 63), 110101012, 110101210, 110121010, 112101010
(127, 63), 111000201, 100020111, 102011100, 101110002
(479, 31), 1NN120NNN, 1120NNNNN, 10NNNNN12, 1NNNN120N
(351, 31), 121022NNN, 1022NNN21, 12NNN2102, 1NN21022N
(223, 31), 101012NNN, 1012NNN01, 12NNN0101, 1NN01012N
(159, 31), 121110NNN, 1110NNN21, 10NNN2111, 1NN21110N
(31, 31), 1202NNNNN, 12NNNNN20, 1NNNN202N, 1NN202NNN
(479, 479), 2NNNN200N, 2NN200NNN, 2200NNNNN, 20NNNNN20
(447, 479), 22NNN0100, 2NN01002N, 201002NNN, 2002NNN01
(351, 479), 21NNN1102, 2NN11021N, 211021NNN, 2021NNN11
(255, 479), 21NNN1110, 2NN11101N, 211101NNN, 2101NNN11
